item_id,figure1,figure2,figure3,figure4,figure5,figure6,figure7,figure8,choice1,choice2,choice3,choice4,solution,masked_idx,seq_order,choice_order,pattern
394741,heart,heart,heart,carrot,heart,heart,heart,carrot,pyramid,key,heart,carrot,carrot,7,53047612,0123,AAABAAAB
268973,cube,cube,cube,hammer,cube,cube,cube,hammer,hammer,key,smile,cube,hammer,7,65720134,1302,AAABAAAB
648999,truck,truck,truck,helicopter,truck,truck,truck,helicopter,truck,helicopter,bell,cube,helicopter,7,36270154,0132,AAABAAAB
492656,truck,truck,truck,pyramid,truck,truck,truck,pyramid,key,heart,pyramid,truck,pyramid,7,51470326,1230,AAABAAAB
130321,cube,cube,cube,wheat,cube,cube,cube,wheat,wheat,cube,eye,pyramid,wheat,7,45713620,1032,AAABAAAB
1925,key,key,key,cube,key,key,key,cube,key,bell,pyramid,cube,cube,7,72650134,0312,AAABAAAB
273428,carrot,carrot,carrot,helicopter,carrot,carrot,carrot,helicopter,heart,carrot,helicopter,sun,helicopter,7,07425613,0312,AAABAAAB
123951,smile,smile,smile,star,smile,smile,smile,star,smile,star,sun,helicopter,star,7,23651074,2301,AAABAAAB
24481,bell,bell,bell,sun,bell,bell,bell,sun,sun,helicopter,bell,hammer,sun,7,61037425,0123,AAABAAAB
379355,guitar,guitar,guitar,key,guitar,guitar,guitar,key,helicopter,carrot,key,guitar,key,7,23507614,1032,AAABAAAB
291202,guitar,bulb,guitar,bulb,cube,carrot,cube,carrot,carrot,guitar,bulb,cube,carrot,7,56347102,3120,ABABCDCD
141480,carrot,hammer,carrot,hammer,eye,star,eye,star,eye,hammer,carrot,star,star,7,14760523,0321,ABABCDCD
138689,smile,truck,smile,truck,star,pyramid,star,pyramid,pyramid,star,truck,smile,pyramid,7,41256307,2301,ABABCDCD
430591,bulb,heart,bulb,heart,wheat,star,wheat,star,star,heart,bulb,wheat,star,7,73524610,0312,ABABCDCD
627830,helicopter,hammer,helicopter,hammer,pyramid,cube,pyramid,cube,pyramid,hammer,cube,helicopter,cube,7,67452130,2103,ABABCDCD
558841,cube,bell,cube,bell,smile,pyramid,smile,pyramid,bell,pyramid,smile,cube,pyramid,7,20563714,3201,ABABCDCD
409029,pyramid,hammer,pyramid,hammer,guitar,sun,guitar,sun,guitar,sun,hammer,pyramid,sun,7,04123765,0231,ABABCDCD
19921,key,pyramid,key,pyramid,smile,eye,smile,eye,pyramid,smile,eye,key,eye,7,71634502,1230,ABABCDCD
236450,truck,sun,truck,sun,pyramid,cube,pyramid,cube,pyramid,sun,truck,cube,cube,7,41723506,2130,ABABCDCD
486605,pyramid,cube,pyramid,cube,guitar,hammer,guitar,hammer,cube,hammer,guitar,pyramid,hammer,7,40163752,2130,ABABCDCD
388771,carrot,sun,sun,carrot,carrot,sun,sun,carrot,carrot,cube,heart,sun,carrot,7,42013675,1023,ABBAABBA
519932,pyramid,hammer,hammer,pyramid,pyramid,hammer,hammer,pyramid,helicopter,pyramid,hammer,heart,pyramid,7,52014367,0132,ABBAABBA
308650,wheat,key,key,wheat,wheat,key,key,wheat,smile,wheat,key,guitar,wheat,7,26370451,0312,ABBAABBA
269575,cube,sun,sun,cube,cube,sun,sun,cube,cube,wheat,guitar,sun,cube,7,71205364,2013,ABBAABBA
422923,bell,truck,truck,bell,bell,truck,truck,bell,hammer,truck,bell,wheat,bell,7,32671504,2310,ABBAABBA
