item_id,figure1,figure2,figure3,figure4,figure5,figure6,figure7,figure8,choice1,choice2,choice3,choice4,solution,masked_idx,seq_order,choice_order,pattern
473464,cube,cube,cube,eye,cube,cube,cube,eye,eye,cube,bell,wheat,eye,7,16435027,2031,AAABAAAB
583951,truck,truck,truck,bulb,truck,truck,truck,bulb,truck,heart,bulb,cube,bulb,7,14563270,0231,AAABAAAB
459249,hammer,hammer,hammer,guitar,hammer,hammer,hammer,guitar,sun,guitar,carrot,hammer,guitar,7,72156304,0132,AAABAAAB
240853,hammer,hammer,hammer,key,hammer,hammer,hammer,key,eye,bell,key,hammer,key,7,43612507,2031,AAABAAAB
639695,bulb,bulb,bulb,cube,bulb,bulb,bulb,cube,key,bulb,cube,pyramid,cube,7,56170234,3210,AAABAAAB
253274,bell,bell,bell,star,bell,bell,bell,star,star,guitar,wheat,bell,star,7,32604571,0132,AAABAAAB
595222,carrot,carrot,carrot,key,carrot,carrot,carrot,key,smile,wheat,carrot,key,key,7,36507241,0123,AAABAAAB
109488,smile,smile,smile,bulb,smile,smile,smile,bulb,carrot,key,bulb,smile,bulb,7,63245170,1302,AAABAAAB
141445,pyramid,pyramid,pyramid,bell,pyramid,pyramid,pyramid,bell,pyramid,helicopter,guitar,bell,bell,7,73415206,2301,AAABAAAB
661466,sun,sun,sun,helicopter,sun,sun,sun,helicopter,helicopter,star,carrot,sun,helicopter,7,36752410,2310,AAABAAAB
193151,pyramid,guitar,pyramid,guitar,key,helicopter,key,helicopter,pyramid,key,helicopter,guitar,helicopter,7,24036157,0132,ABABCDCD
210328,truck,guitar,truck,guitar,pyramid,sun,pyramid,sun,guitar,sun,truck,pyramid,sun,7,37265014,2310,ABABCDCD
555655,key,hammer,key,hammer,bulb,eye,bulb,eye,hammer,eye,key,bulb,eye,7,07145623,2031,ABABCDCD
459159,key,bell,key,bell,heart,truck,heart,truck,bell,heart,key,truck,truck,7,14025736,1320,ABABCDCD
117957,smile,helicopter,smile,helicopter,cube,hammer,cube,hammer,helicopter,smile,hammer,cube,hammer,7,37205614,0231,ABABCDCD
353217,eye,carrot,eye,carrot,truck,bell,truck,bell,bell,carrot,eye,truck,bell,7,37250461,3201,ABABCDCD
68989,bulb,truck,bulb,truck,wheat,key,wheat,key,bulb,wheat,truck,key,key,7,40372516,2301,ABABCDCD
278178,smile,wheat,smile,wheat,sun,guitar,sun,guitar,wheat,guitar,sun,smile,guitar,7,65102437,1230,ABABCDCD
56869,pyramid,key,pyramid,key,heart,bulb,heart,bulb,heart,bulb,pyramid,key,bulb,7,07653214,0321,ABABCDCD
569783,star,key,star,key,bell,wheat,bell,wheat,key,wheat,star,bell,wheat,7,02534671,3012,ABABCDCD
431255,helicopter,heart,heart,helicopter,helicopter,heart,heart,helicopter,helicopter,star,heart,pyramid,helicopter,7,60721534,2301,ABBAABBA
298984,bell,pyramid,pyramid,bell,bell,pyramid,pyramid,bell,bell,pyramid,hammer,key,bell,7,12347065,2301,ABBAABBA
516742,pyramid,smile,smile,pyramid,pyramid,smile,smile,pyramid,guitar,eye,pyramid,smile,pyramid,7,10274536,0132,ABBAABBA
586978,heart,truck,truck,heart,heart,truck,truck,heart,carrot,key,heart,truck,heart,7,63542701,3021,ABBAABBA
331364,sun,heart,heart,sun,sun,heart,heart,sun,bulb,heart,hammer,sun,sun,7,42701653,0312,ABBAABBA
248142,cube,helicopter,helicopter,cube,cube,helicopter,helicopter,cube,carrot,cube,truck,helicopter,cube,7,36127054,2310,ABBAABBA
553084,wheat,smile,smile,wheat,wheat,smile,smile,wheat,smile,heart,truck,wheat,wheat,7,42031576,0321,ABBAABBA
100627,heart,sun,sun,heart,heart,sun,sun,heart,hammer,sun,heart,wheat,heart,7,57623104,2103,ABBAABBA
340237,carrot,cube,cube,carrot,carrot,cube,cube,carrot,carrot,cube,helicopter,heart,carrot,7,72516403,0231,ABBAABBA
298416,cube,carrot,carrot,cube,cube,carrot,carrot,cube,pyramid,wheat,carrot,cube,cube,7,73204651,2013,ABBAABBA
94817,wheat,star,star,wheat,bulb,hammer,bulb,hammer,bulb,wheat,hammer,star,hammer,7,35760124,3201,ABBACDCD
335071,key,star,star,key,smile,truck,smile,truck,star,key,truck,smile,truck,7,45713260,2301,ABBACDCD
522058,pyramid,star,star,pyramid,helicopter,wheat,helicopter,wheat,helicopter,star,pyramid,wheat,wheat,7,46312705,1302,ABBACDCD
422840,carrot,sun,sun,carrot,pyramid,cube,pyramid,cube,sun,cube,carrot,pyramid,cube,7,37514026,1230,ABBACDCD
299159,guitar,heart,heart,guitar,bulb,sun,bulb,sun,bulb,sun,guitar,heart,sun,7,75426130,1203,ABBACDCD
36814,key,wheat,wheat,key,guitar,cube,guitar,cube,wheat,guitar,cube,key,cube,7,31546702,2301,ABBACDCD
384312,guitar,hammer,hammer,guitar,bulb,cube,bulb,cube,guitar,hammer,bulb,cube,cube,7,74305612,0132,ABBACDCD
190454,bulb,hammer,hammer,bulb,heart,guitar,heart,guitar,bulb,hammer,heart,guitar,guitar,7,02564137,1032,ABBACDCD
101215,star,heart,heart,star,guitar,wheat,guitar,wheat,guitar,wheat,star,heart,wheat,7,47051236,2013,ABBACDCD
345670,key,bell,bell,key,cube,eye,cube,eye,eye,key,cube,bell,eye,7,12074563,3120,ABBACDCD
13165,bulb,star,star,key,bulb,star,star,key,key,eye,bulb,star,key,7,56431720,2103,ABBCABBC
107862,eye,truck,truck,star,eye,truck,truck,star,truck,eye,bulb,star,star,7,35264107,0132,ABBCABBC
657944,key,sun,sun,star,key,sun,sun,star,heart,star,key,sun,star,7,02541637,0132,ABBCABBC
572245,heart,hammer,hammer,truck,heart,hammer,hammer,truck,truck,heart,wheat,hammer,truck,7,74032156,0213,ABBCABBC
69015,wheat,eye,eye,sun,wheat,eye,eye,sun,sun,eye,truck,wheat,sun,7,54631027,2310,ABBCABBC
195656,truck,sun,sun,heart,truck,sun,sun,heart,key,sun,heart,truck,heart,7,03716254,1230,ABBCABBC
153969,cube,star,star,guitar,cube,star,star,guitar,star,cube,guitar,sun,guitar,7,54016723,1302,ABBCABBC
102591,wheat,smile,smile,sun,wheat,smile,smile,sun,wheat,sun,hammer,smile,sun,7,41032576,3102,ABBCABBC
467987,guitar,truck,truck,heart,guitar,truck,truck,heart,helicopter,heart,guitar,truck,heart,7,17425036,2310,ABBCABBC
646461,hammer,key,key,bulb,hammer,key,key,bulb,star,bulb,key,hammer,bulb,7,62035471,2031,ABBCABBC
605945,key,cube,truck,key,key,cube,truck,key,truck,eye,key,cube,key,7,70541263,2013,ABCAABCA
494556,cube,truck,sun,cube,cube,truck,sun,cube,cube,wheat,sun,truck,cube,7,15627043,1320,ABCAABCA
143492,eye,bulb,pyramid,eye,eye,bulb,pyramid,eye,bulb,eye,pyramid,truck,eye,7,06125473,0321,ABCAABCA
513394,hammer,helicopter,guitar,hammer,hammer,helicopter,guitar,hammer,hammer,helicopter,pyramid,guitar,hammer,7,43560271,0213,ABCAABCA
166485,key,guitar,cube,key,key,guitar,cube,key,guitar,cube,carrot,key,key,7,72615340,2103,ABCAABCA
282810,pyramid,carrot,truck,pyramid,pyramid,carrot,truck,pyramid,bell,truck,carrot,pyramid,pyramid,7,10376425,0321,ABCAABCA
349133,bell,cube,heart,bell,bell,cube,heart,bell,bell,heart,cube,smile,bell,7,21703465,1302,ABCAABCA
137554,sun,bell,truck,sun,sun,bell,truck,sun,truck,pyramid,sun,bell,sun,7,76041352,0123,ABCAABCA
234780,key,bulb,guitar,key,key,bulb,guitar,key,guitar,bulb,key,heart,key,7,60375241,0321,ABCAABCA
561907,bell,star,pyramid,bell,bell,star,pyramid,bell,pyramid,bell,cube,star,bell,7,75642103,0231,ABCAABCA
33714,sun,hammer,helicopter,truck,truck,helicopter,hammer,sun,hammer,helicopter,truck,sun,sun,7,27630541,2301,ABCDDCBA
498571,truck,key,bell,carrot,carrot,bell,key,truck,carrot,key,bell,truck,truck,7,65034127,0213,ABCDDCBA
176787,eye,pyramid,sun,carrot,carrot,sun,pyramid,eye,sun,eye,pyramid,carrot,eye,7,14205367,3012,ABCDDCBA
182224,pyramid,bulb,star,heart,heart,star,bulb,pyramid,bulb,heart,star,pyramid,pyramid,7,36052174,1203,ABCDDCBA
405515,carrot,wheat,heart,key,key,heart,wheat,carrot,wheat,carrot,heart,key,carrot,7,74163025,3021,ABCDDCBA
233004,heart,pyramid,eye,sun,sun,eye,pyramid,heart,eye,sun,pyramid,heart,heart,7,07356142,2130,ABCDDCBA
303546,guitar,bell,hammer,key,key,hammer,bell,guitar,key,bell,guitar,hammer,guitar,7,41035672,3120,ABCDDCBA
610939,smile,heart,sun,carrot,carrot,sun,heart,smile,smile,heart,sun,carrot,smile,7,03726415,2103,ABCDDCBA
359618,bulb,heart,smile,guitar,guitar,smile,heart,bulb,smile,heart,guitar,bulb,bulb,7,65127043,2031,ABCDDCBA
543107,bell,cube,wheat,truck,truck,wheat,cube,bell,truck,wheat,bell,cube,bell,7,03615472,2013,ABCDDCBA
262308,smile,key,bell,sun,truck,truck,sun,bell,truck,sun,smile,bell,bell,7,64723015,1302,ABCDEEDC
530649,star,sun,bulb,hammer,key,key,hammer,bulb,key,sun,bulb,hammer,bulb,7,43761025,1023,ABCDEEDC
301672,wheat,hammer,bulb,carrot,truck,truck,carrot,bulb,carrot,truck,bulb,wheat,bulb,7,63107452,3102,ABCDEEDC
104441,star,eye,key,heart,carrot,carrot,heart,key,heart,key,carrot,star,key,7,31627054,2013,ABCDEEDC
163204,smile,eye,cube,truck,helicopter,helicopter,truck,cube,cube,eye,helicopter,smile,cube,7,37415062,2103,ABCDEEDC
181682,helicopter,heart,guitar,truck,star,star,truck,guitar,heart,star,guitar,truck,guitar,7,25104367,2013,ABCDEEDC
461506,helicopter,carrot,cube,bulb,wheat,wheat,bulb,cube,helicopter,carrot,cube,bulb,cube,7,15203476,1023,ABCDEEDC
612186,smile,eye,pyramid,guitar,helicopter,helicopter,guitar,pyramid,helicopter,eye,guitar,pyramid,pyramid,7,63524710,3021,ABCDEEDC
32002,eye,smile,star,truck,key,key,truck,star,smile,truck,star,eye,star,7,17532406,3102,ABCDEEDC
254242,heart,wheat,hammer,smile,bell,bell,smile,hammer,smile,hammer,heart,bell,hammer,7,46137520,3201,ABCDEEDC
