item_id,figure1,figure2,figure3,figure4,figure5,figure6,figure7,figure8,choice1,choice2,choice3,choice4,solution,masked_idx,seq_order,choice_order,pattern
582250,truck,truck,truck,key,truck,truck,truck,key,pyramid,hammer,truck,key,key,7,63472105,3201,AAABAAAB
199170,eye,eye,eye,bulb,eye,eye,eye,bulb,wheat,bulb,eye,carrot,bulb,7,43702561,3201,AAABAAAB
553882,pyramid,pyramid,pyramid,key,pyramid,pyramid,pyramid,key,key,pyramid,eye,star,key,7,30152674,0312,AAABAAAB
163825,sun,sun,sun,key,sun,sun,sun,key,smile,key,hammer,sun,key,7,35071624,1023,AAABAAAB
388105,pyramid,pyramid,pyramid,helicopter,pyramid,pyramid,pyramid,helicopter,cube,pyramid,helicopter,sun,helicopter,7,07453261,0321,AAABAAAB
63807,key,key,key,carrot,key,key,key,carrot,carrot,heart,key,sun,carrot,7,32156740,3012,AAABAAAB
351187,smile,smile,smile,key,smile,smile,smile,key,smile,hammer,wheat,key,key,7,34016572,3210,AAABAAAB
190499,hammer,hammer,hammer,bulb,hammer,hammer,hammer,bulb,eye,hammer,smile,bulb,bulb,7,34562017,2031,AAABAAAB
404377,heart,heart,heart,guitar,heart,heart,heart,guitar,pyramid,truck,heart,guitar,guitar,7,43570621,0123,AAABAAAB
614401,sun,sun,sun,guitar,sun,sun,sun,guitar,wheat,sun,truck,guitar,guitar,7,35107426,3021,AAABAAAB
317004,heart,pyramid,heart,pyramid,bulb,cube,bulb,cube,pyramid,bulb,heart,cube,cube,7,76104532,3012,ABABCDCD
536101,key,bulb,key,bulb,sun,hammer,sun,hammer,key,bulb,sun,hammer,hammer,7,53614027,3201,ABABCDCD
521225,helicopter,star,helicopter,star,pyramid,truck,pyramid,truck,helicopter,truck,pyramid,star,truck,7,35671042,3012,ABABCDCD
286148,star,wheat,star,wheat,pyramid,sun,pyramid,sun,sun,star,pyramid,wheat,sun,7,36710254,1302,ABABCDCD
282801,bulb,truck,bulb,truck,hammer,pyramid,hammer,pyramid,pyramid,truck,bulb,hammer,pyramid,7,43725160,1023,ABABCDCD
581931,bulb,cube,bulb,cube,star,eye,star,eye,bulb,cube,eye,star,eye,7,56240713,2130,ABABCDCD
304976,bell,helicopter,bell,helicopter,sun,carrot,sun,carrot,bell,sun,helicopter,carrot,carrot,7,26510473,0132,ABABCDCD
355908,eye,key,eye,key,pyramid,bell,pyramid,bell,eye,bell,key,pyramid,bell,7,05362417,1032,ABABCDCD
647162,pyramid,sun,pyramid,sun,carrot,star,carrot,star,carrot,sun,star,pyramid,star,7,23476015,3012,ABABCDCD
268773,eye,key,eye,key,guitar,pyramid,guitar,pyramid,guitar,eye,key,pyramid,pyramid,7,63507421,2103,ABABCDCD
283949,guitar,cube,cube,guitar,guitar,cube,cube,guitar,carrot,guitar,cube,helicopter,guitar,7,02513764,3102,ABBAABBA
406167,wheat,cube,cube,wheat,wheat,cube,cube,wheat,wheat,bell,cube,heart,wheat,7,52431607,3021,ABBAABBA
622399,eye,pyramid,pyramid,eye,eye,pyramid,pyramid,eye,pyramid,bulb,eye,wheat,eye,7,67152340,2301,ABBAABBA
20406,pyramid,wheat,wheat,pyramid,pyramid,wheat,wheat,pyramid,bell,pyramid,wheat,bulb,pyramid,7,46127305,1320,ABBAABBA
340083,bell,wheat,wheat,bell,bell,wheat,wheat,bell,cube,carrot,wheat,bell,bell,7,15230647,2103,ABBAABBA
509718,star,key,key,star,star,key,key,star,hammer,sun,star,key,star,7,26570431,3012,ABBAABBA
323450,sun,hammer,hammer,sun,sun,hammer,hammer,sun,heart,hammer,sun,bulb,sun,7,47160325,0312,ABBAABBA
518505,cube,truck,truck,cube,cube,truck,truck,cube,bell,carrot,cube,truck,cube,7,75341206,1302,ABBAABBA
35561,hammer,wheat,wheat,hammer,hammer,wheat,wheat,hammer,bell,hammer,wheat,cube,hammer,7,01732654,2301,ABBAABBA
321661,hammer,pyramid,pyramid,hammer,hammer,pyramid,pyramid,hammer,pyramid,hammer,helicopter,key,hammer,7,42376510,0312,ABBAABBA
67569,sun,cube,cube,sun,pyramid,key,pyramid,key,key,sun,cube,pyramid,key,7,36520417,0312,ABBACDCD
77289,eye,hammer,hammer,eye,carrot,pyramid,carrot,pyramid,pyramid,carrot,hammer,eye,pyramid,7,26315470,0231,ABBACDCD
563842,key,carrot,carrot,key,smile,pyramid,smile,pyramid,smile,pyramid,carrot,key,pyramid,7,17536204,0123,ABBACDCD
190937,key,helicopter,helicopter,key,bulb,bell,bulb,bell,key,helicopter,bulb,bell,bell,7,61247503,2130,ABBACDCD
169481,wheat,hammer,hammer,wheat,heart,carrot,heart,carrot,carrot,hammer,heart,wheat,carrot,7,42376105,0132,ABBACDCD
