item_id,figure1,figure2,figure3,figure4,figure5,figure6,figure7,figure8,choice1,choice2,choice3,choice4,solution,masked_idx,seq_order,choice_order,pattern
319601,cube,cube,cube,carrot,cube,cube,cube,carrot,smile,sun,cube,carrot,carrot,7,67503241,2031,AAABAAAB
62751,star,star,star,helicopter,star,star,star,helicopter,pyramid,helicopter,truck,star,helicopter,7,65734120,3102,AAABAAAB
329712,hammer,hammer,hammer,helicopter,hammer,hammer,hammer,helicopter,hammer,wheat,smile,helicopter,helicopter,7,34215076,3120,AAABAAAB
536664,hammer,hammer,hammer,smile,hammer,hammer,hammer,smile,hammer,cube,smile,bell,smile,7,46357021,0312,AAABAAAB
14403,smile,smile,smile,pyramid,smile,smile,smile,pyramid,smile,wheat,pyramid,sun,pyramid,7,56021743,0231,AAABAAAB
251061,wheat,wheat,wheat,truck,wheat,wheat,wheat,truck,pyramid,heart,wheat,truck,truck,7,37150624,2031,AAABAAAB
4926,star,star,star,sun,star,star,star,sun,wheat,sun,helicopter,star,sun,7,13570264,1320,AAABAAAB
545807,carrot,carrot,carrot,cube,carrot,carrot,carrot,cube,carrot,guitar,cube,eye,cube,7,13542706,2130,AAABAAAB
50254,guitar,guitar,guitar,carrot,guitar,guitar,guitar,carrot,guitar,bell,carrot,cube,carrot,7,56023147,3021,AAABAAAB
207420,bell,bell,bell,truck,bell,bell,bell,truck,bell,guitar,smile,truck,truck,7,02741365,3210,AAABAAAB
218201,key,star,key,star,smile,bell,smile,bell,smile,bell,star,key,bell,7,70542316,2013,ABABCDCD
416096,star,hammer,star,hammer,bell,helicopter,bell,helicopter,hammer,star,helicopter,bell,helicopter,7,36041725,1320,ABABCDCD
154046,bell,sun,bell,sun,truck,bulb,truck,bulb,bell,bulb,truck,sun,bulb,7,31402657,1023,ABABCDCD
406163,helicopter,carrot,helicopter,carrot,bulb,wheat,bulb,wheat,wheat,carrot,bulb,helicopter,wheat,7,67015234,2103,ABABCDCD
391345,smile,bulb,smile,bulb,pyramid,heart,pyramid,heart,heart,pyramid,bulb,smile,heart,7,24731650,1203,ABABCDCD
561838,star,heart,star,heart,cube,carrot,cube,carrot,star,cube,heart,carrot,carrot,7,40536271,2301,ABABCDCD
630297,truck,hammer,truck,hammer,heart,bell,heart,bell,hammer,bell,heart,truck,bell,7,63502471,2103,ABABCDCD
346526,sun,bell,sun,bell,pyramid,star,pyramid,star,bell,sun,pyramid,star,star,7,02347561,2013,ABABCDCD
